avilottransfer,1
question,correct,answer_0,answer_1,answer_2
"Při nevydařeném přistání prolétl pilot oknem a řízl se na zápěstí tak nešťastně, že rána silně krvácí, krev vystřikuje. Z rány ční střep cca 10 cm dlouhý. Postižený je při vědomí, bledý, stěžuje si na bolest v kotníku pravé nohy, kde je zjevná deformace. Zavoláme záchrannou službu a dále:",1,"položíme postiženého na záda s podloženýma nohama, na předloktí naložíme improvizované škrtidlo, šetrně dotáhneme. Střep zásadně nevydáváme","uložíme postiženého do polosedu, vytáhneme střep, přiložíme tlakový obvaz","imobilizujeme poraněnou nohu, uložíme poraněného do protišokové polohy, ruku zvedneme nahoru, a pokud krvácení trvá, přiložíme tlakový obvaz"
Při nouzovém přistání pilot volí spíše,0,hustý porost,samostatný strom,lesní cestu
Při nouzovém přistání pilot volí vždy jako poslední možnost:,1,vodní plochu,dráty elektrického vedení,parkoviště
Při nouzovém přistáním upřednostním,1,dráty elektrického vedení,stromy,budovy
Při obtékání tělesa vznikají aerodynamické síly. Nazývají se:,2,"vztlak, tíha a odpor",vztlak a podtlak,"výsledná aerodynamická síla, která se rozkládá na vztlak a odpor"
Při pozemním nácviku v silnějším větru vrchlík pilota nečekaně nadzvedne nad zem. Správný postup je:,2,prudce stáhnout řídící šňůry,"stáhnout a uvolnit řídící šňůry, tzv. ""pumpovat"" a tím dosednout na zem","uvolnit řízení a počkat, až dosedne zpět na zem"
Při provádění srovnávací orientace je vždy spolehlivější:,0,vyhledat a určit několik orientačních bodů,soustředit pozornost na jeden orientační bod,pozorně prohlížet terén pod letadlem
Při přechodu aktivní studené fronty II. druhu se setkáváme s typickými nebezpečnými jevy:,2,"námrazou, trvalými srážkami, zhoršenou dohledností","nízkou oblačností, mohutnou vrstevnatou oblačností, silným trvalým deštěm","silnou turbulencí, silnou námrazou, aktivní bouřkovou činností, silnými přeháňkami, silným větrem"
Při přechodu studené fronty I. druhu je srážkové pásmo:,2,na čáře fronty,před čarou fronty,za čarou fronty
Při přefouknutí přes kopec je nejbezpečnější,0,letět po větru přes rotor co nejdál na místo kde můžu alespoň nějak v pořádku přistát,"použiji záložní padák, závětrná turbulence jej ovlivňuje daleko méně",zvětším maximálně plošné zatížení tak že udělám velké uši a proletím turbulence
Při přetažení PK,2,"použijeme záložní padák, pokud nemáme dostatečnou výšku vypustíme rychle řízení","použijeme záložní padák, pokud nemáme dostatečnou výšku držíme pevně řízení",plynule vypustíme řízení
Při přetržení řídící šňůry za letu je správný postup,0,řízení pomocí naklánění a šetrného stahováním zadních popruhů,"zatáčením o 90*, 180*, a 360* jen na jednu stranu","pokud je dostatečná výška, použít záložní padák, jinak  jinou vhodnou šňůru a druhou řidičku."
Při přistání na vysokém stromě:,2,pokusíte se co nejrychleji slézt,"počkáte, až přijdou přátelé a sami slezete, oni vás budou případně chytat","Uděláte maximum prostřednictvím dosažitelných prostředků, abyste si zavolali odbornou pomoc pro vyproštění (telefonát, vyčkání, až vás najdou přátelé apod.)"
Při sešlápnutí speed systému,2,má PK tendenci frontálně nebo asymetricky se zaklapnout,PK zrychlí a v důsledku zvýšení rychlosti obtékání je stabilnější,PK zvýší rychlost letu a je náchylnější k frontstalu nebo jednostranému zaklopení
"Při silném větru pilot zaletěl do místa, odkud se proti větru neprosazuje:",2,"sešlápne speed a k tomu přidá ""velké uši""","zůstane natočený proti větru ve směru, kam chce letět a vyklesá na zem do terénu","otočí se po větru nebo alespoň co nejvíce bokem na vítr, jak terén dovolí a z místa odlétne"
Při silnějším větru startuji,2,"tak, aby vrchlík byl zároveň s vrcholem kopce",na vrcholu kopce,v dostatečné vzdálenosti pod vrcholem kopce
Při srovnávání mapy s terénem je nejdůležitější:,2,přesný kompas,přesné hodinky,"pozorně prohlížet terén před letadlem, vedle letadla a důsledně porovnávat mapu s terénem"
Při srážce s jiným SLZ ve výšce 50 - 100 m nad terénem je správný postup,2,znovu ustálit let,provést sestupný manévr,vyhodit záložní padák
"Při stoupání je v převodní výšce přestavován výškoměr. Je-li místní QNH 1023 hPa, co se stane s údajem výškoměru?",1,Nebude tím ovlivněn,Zmenší se,Zvětší se
Při uvolnění speed systému se rychlost PK,1,"nezmění, pouze se zvětší úhel náběhu",sníží,zvýší
Při vlétnutí do klesavého proudu,2,vrchlík se nakloní do strany a hrozí asymetrické zaklopení,vrchlík kývne dozadu a následně může dojít k předstřelu,vrchlík předstřelí dopředu a hrozí čelní zaklopení vrchlíku
Při vlétnutí do stoupavého proudu,0,vrchlík kývne dozadu a následně může dojít k předstřelu,vrchlík se nakloní do strany a hrozí asymetrické zaklopení,vrchlík předstřelí dopředu a hrozí čelní zaklopení vrchlíku
Při zatáčení PK se úhel náběhu na straně uvnitř zatáčky:,1,nemění,"mění, protože se změní poloha odtokové hrany","mění, protože se křídlo zároveň nakloní"
Při zvětšování úhlu náběhu:,1,klesá součinitel vztlaku a odporu,roste součinitel vztlaku a odporu,"roste součinitel vztlaku, součinitel odporu klesá"
Při částečném zaklopení je správný postup,1,"nedělat nic, na testovaném PK je vždy tato situace zcela bezpečná","maximálně se vyklonit na nezaklopenou stranu a také ji přibrzdit tak, aby nedošlo k rotaci","ihned zcela stáhnout řízení na nezaklopené straně, k urychlení regenerace vrchlíku"
"Přibližují-li se dvě nebo více letadel těžších vzduchu k jednomu letišti s úmyslem přistát a nevztahují-li se na ně pravidla pro vyhýbání, platí přednost pro přistání:",1,letadlo letící vlevo dát přednost letadlům přilétávajícím zprava,výše letící letadlo dát přednost letadlu letícímu níže,pomalejší letadlo dát přednost rychlejšímu
Přilbu postiženému:,0,snímáme tahem v dlouhé ose těla za stálé fixace hlavy a krku,zásadně nesnímáme,snímáme šetrným kroutivým pohybem ze strany na stranu
Přistání na vodní hladině provádí pilot PK,0,po větru,proti větru,bokem na vítr
Přivedení PK za letu do blízkosti kritického úhlu náběhu pomocí hlubokého stažení brzd se projeví:,2,náhle zvýšeným opadáním,zmenšením sil v řídících šňůrách,znatelným zvýšením velikosti sil v řídících šňůrách
Přízemní projevy aktivní bouřky nebezpečné pro letecký provoz:,1,"snížení základny oblačnosti, snižování dohlednosti","húlava na čele bouřky, existence silného vzestupného proudu před húlavou, silný sestupný proud za húlavou v oblasti vypadávajících srážek, silné nárazy větru",vypadávání trvalých srážek
Resuscitace bez dýchání z plic do plic se provádí:,2,"stlačováním hrudníku frekvencí cca 60x za minutu tak, aby výsledný počet kompresí za minutu byla stejný, jako když by dýchání bylo prováděno","stlačováním hrudníku frekvencí asi 100x za minutu s tím, že místo umělých vdechů se po 30 stlačeních zařadí 5 sekund pauza",nepřetržitým stlačováním hrudníku frekvencí asi 100x za minutu
"Resuscitace může být (mimo jiné) ukončena, pokud:",0,dojde k obnově vědomí – pacient začne reagovat,"pokud je spolehlivě zjištěno, že postižený je starší 70 let",po dvaceti minutách provádění bez jakéhokoliv zřejmého efektu
"Resuscitaci (oživování) je potřeba provádět tehdy, pokud postižený:",0,"nereaguje, nehýbe se a nedýchá, nebo jsou vidět jen „lapavé“ nádechy","nereaguje a nehýbá se, bez ohledu na stav dýchání (laik není stav dýchání schopen spolehlivě posoudit)",nereaguje a nemá hmatný puls na krční tepně (stav dýchání není podstatný)
Resuscitaci provádí laici bez speciálního výcviku:,2,mačkáním hrudníku a dýcháním z plic do plic v poměru 15:2,mačkáním hrudníku a dýcháním z plic do plic v poměru 30:2,pouze mačkáním hrudníku
Rosný bod je:,1,"místo, nad kterým vznikne mrak","teplota, na kterou musí být ochlazen vzduch, aby nastala kondenzace",výška nulové izotermy
Rozdíl mezi UTC a letním středoevropským (SELČ) časem je:,2,není žádný,1 hodina,2 hodiny
Rozdíl mezi UTC a středoevropským (SEČ) časem je:,2,není žádný,2 hodiny,1 hodina
Rychlost letu zobrazená v GPS  je:,0,traťová rychlost,indikovaná  vzdušná rychlost,pravá vzdušná rychlost
Rychlost letu zvýším,0,sešlápnutím speedu,zatažením trimů,mírným přitažením řídiček
Rychlost větru obvykle s rostoucí výškou:,2,"v létě stoupá, v zimě klesá",klesá,roste
"S výjimkou vzletu nebo přistání nebo s výjimkou povolení vydaného leteckým úřadem, musí být VFR let prováděn nad hustě zastavěnými místy nebo shromáždištěm lidí na volném prostranství ve výšce, která nesmí být menší než:",0,300 m nad nejvyšší překážkou v okruhu 600 m od letadla,300 m nad nejvyšší překážkou v okruhu 300 m od letadla,150 m nad nejvyšší překážkou v okruhu 600 m od letadla
S výjimkou vzletu nebo přistání nebo s výjimkou povolení vydaného úřadem musí být let VFR prováděn nad zemí nebo vodou ve výšce ne menší než:,2,300 m,150 m,150 m s výjimkou létání na svahu
Schématem „A-B-C“ se má v rámci prvotního vyšetření na mysli:,2,"provedení záklonu hlavy (A), zahájení umělého dýchání (B) a zahájení kompresí hrudníku (C)","zjištění anamnézy (A), bolestivosti (B) a cílené vyšetření postižené oblasti (C)","ověření průchodnosti dýchacích cest (A), ověření stavu dýchání (B) a ověření známek funkčního krevního oběhu (C)"
Se studenou frontu I. druhu jsou obvykle spojeny nebezpečné jevy:,2,pouze nízká oblačnost vrstevnatého typu,silný nárazovitý přízemní vítr,"oblaka Cb - cumulonimbus na čele fronty ukrytá v nízké vrstevnaté oblačnosti, turbulence a námraza"
"Sever magnetický je směr, který:",1,změříme na mapě,"určuje magnetka kompasu, na kterou nepůsobí žádné vedlejší rušivé vlivy","je určený myšlenou přímkou, která vede středem země a protíná její povrchv bodech, které nazýváme sever magnetický a jih magnetický"
"Signalizace, kterou osoby na zemi potvrzují potřebu přistání posádce záchranného vrtulníku, se provádí:",0,rukama vztyčenýma nad hlavou do tvaru písmene Y,rukama mírně rozpaženýma do tvaru písmene A,máváním jakýmkoliv předmětem světlé barvy
"Signalizace, kterou osoby na zemi ruší potřebu přistání záchranného vrtulníku, se provádí:",2,rytmickým rozpažováním a připažováním s dlaněmi obrácenými vzhůru,máváním jakýmkoliv předmětem červené barvy,jednou rukou vztyčenou nad hlavou a druhou mírně rozpaženou (parafráze písmene N)
"Skutečný, zcela holý povrch země se soušemi, nerovnostmi a hladinami moří se nazývá:",0,topografická plocha,topografická situace,projekce mapy
Směr letu a směr pohybu PK vůči zemi je,1,shodný za bezvětří nebo při větru vanoucím přesně kolmo na směr letu,shodný za bezvětří a při větru vanoucím přesně ve směru nebo přesně proti směru letu,vždy shodný
"Směr větru před přistáním v neznámém místě, kde není větrný rukáv, nejsnáze poznáme podle",0,"vlnění trávy, pohybu dýmu, ohýbání stromů, poletování chmýří","kroužení dravců, směru pohybu stínů na zemi, vln na vodních plochách","polohy rozložených PK, které zde přistály před námi"
Směru jih odpovídá údaj:,0,180°,090°,360°
"Spirála je letový režim, při kterém:",0,nedochází k odtržení proudění,dochází k odtržení proudění na straně křídla uvnitř zatáčky,dochází k odtržení proudění na straně křídla vně zatáčky
"Spirálu docílíme tak, že",2,"vykloníme se na stranu, na kterou chceme spirálou zatáčet, stáhneme plynule řidičku a na opačné straně stáhneme přední popruh padáku","nejprve zabrzdíme obě řídičky , uvolníme na jedné straně řidičku zcela nahoru a na druhé jí stáhneme maximálně dolů - padák začne sestupně kroužit v dynamickém a rychlém otáčení","plynulým přechodem ze zatáčky do stále ostřejší zatáčky jemným stahováním řídičky a vykloněním těla na stejnou stranu, na kterou zatáčíme"
Spodní hranici řízeného okrsku (CTR) tvoří:,0,povrch země,horní hranice třídy G,stanovená výška nad mořem
Sportovní létající zařízení může řídit,1,"pilot, který je držitelem platného posudku o zdravotní způsobilosti, nebo pilotní žák za podmínek stanovených výcvikovou osnovou","pilot, který je držitelem platného pilotního průkazu s příslušnou kvalifikací, nebo pilotní žák za podmínek stanovených výcvikovou osnovou","pilot, který je držitelem platného pilotního průkazu s příslušnou kvalifikací, nebo osoba oprávněná provozovatelem SLZ za přítomnosti pilota, pilotní žák za podmínek stanovených výcvikovou osnovou"
Správně označení severozápadního větru ve zkratkách ICAO je:,0,NW,SE,SW
Srovnávací navigace spočívá v:,0,srovnávání terénu s mapou a opačně,srovnávání údajů navigačních přístrojů (GPS) s mapou,srovnávání vypočtených časů se skutečností
Srážkové pásmo teplé fronty je:,0,před čarou fronty a jde o srážky trvalé,převážně těsně za čarou fronty a jedná se o srážky občasné,na čáře fronty a jde o srážky krátkodobého charakteru
"Srážky vypadávající z oblačnosti typu Cb - cumulonimbus, jsou charakteru:",0,silných přeháněk,mrholení,trvalých srážek
Srážky vypadávající z oblačných soustav výrazných teplých front jsou převážně:,0,srážky trvalé,přeháňky,srážky občasné
Stlačování hrudníku se v průběhu resuscitace provádí:,0,uprostřed hrudní kosti,při dolním okraji hrudní kosti,v místě levé prsní bradavky
"Svahování praktikujeme tak, že",2,"létáme souběžně se svahem, těsně nad jeho závětrnou stranou a otáčíme se zásadně proti větru, tj. ke kopci",létáme přímo nad hřebenem a otáčet se lze podle situace proti i po větru,létáme souběžně se svahem na jeho návětrné straně a v místě obratu se otáčíme směrem od svahu o 180°
TMA (koncová řízená oblast),2,nedá se podletět ani nadletět,dá se podletět pouze při vzájemné komunikaci radiostanicí s příslušným stanovištěm ATS,se dá podletět
"Technický průkaz PK kategorie ""P"" je možno vydat",0,"pouze PK, který prošel úspěšně zkušebním programem podle normy PL-2 nebo EN-926",jakémukoliv PK vyrobenému výrobcem s oprávněním LAA ČR,"pouze PK, který prošel úspěšně zkušebním programem podle normy AFNOR"
Technický průkaz PK vystavuje,0,vždy inspektor techniky LAA ČR,vždy pověřený provozní inspektor,"kategorii ""P"" pověřený inspektor - technik výrobce, kategorii ""Z"" LAA ČR"
Telefonní číslo na záchrannou službu je v ČR:,1,158,155,150
Teplotou rosného bodu nazýváme:,1,teplotu vzduchu v určité výšce,"teplotu, kterou by vzduch měl v okamžiku stavu nasycení",teplotu vzduchu se stanovenou relativní vlhkostí
Termická turbulence vzniká vlivem:,0,ohřevu vzduchu o zemský povrch při instabilním zvrstvení,nestejnoměrného zahřívání zemského povrchu,kopcovitého terénu
"Terénní útvary jako jsou lesy, louky, jezera, hrady, silnice, železnice atd. nazýváme:",0,topografickou situací,topografickou plochou,projekcí mapy
Tlaková níže – cyklona – je oblastí:,0,nízkého tlaku s nejnižší hodnotou ve svém středu,se snižující se hodnotou tlaku směrem od středu,nízkého tlaku s nejnižší hodnotou po okrajích oblasti
Tlaková výše – anticyklona – je oblastí:,2,s nejvyšší hodnotou tlaku po okrajích oblasti,s nejvyšší hodnotou tlaku rostoucím v určitém směru,vysokého tlaku s nejvyšší hodnotou tlaku ve svém středu
Turbulentní proudění je:,0,Proudění vzduchových částic různými směry,Proudění vzduchových částic stejným směrem,částice vzduchu se nepohybují
Tětiva profilu je:,1,přímka rozdělující profil v polovině jeho tloušťky na dvě stejně velké části,přímka spojující střed náběžné hrany profilu s odtokovou hranou profilu,čára spojující středy kružnic vepsaných do profilu
Těžiště letadla je:,0,působiště tíhové síly,působiště výsledné aerodynamické síly a tíhové síly,působiště výsledné aerodynamické síly
Uvolnění dýchacích cest se u pacienta v bezvědomí provádí především pomocí:,1,předklonu hlavy,záklonu hlavy,stabilizované polohy
V definici standardní atmosféry jsou hodnoty tlaku a teploty na střední hladině moře:,2,"1015 hPa, +10°C","1013,25 hPa, 0°C","1013,25 hPa, +15°C"
V letectví se používá u GPS  souřadnicový  systém:,1,WGS 82,WGS 84,S 42
V letním období ve střední Evropě v centrální části výrazné tlakové výše očekáváme:,1,"jasno, silný vítr, v noci chladno, ve dne teplo a silnou termiku","skoro jasno, slabý vítr, přes den vysoké teploty, slábnoucí termiku","inverzní mlhy, proměnlivý vítr, noční bouřky a ve dne silnou termiku"
V oblasti fronty se tvoří mohutná a výrazná Cb - cumulonimbus oblačnost. Je to typický projev:,2,teplé okludované fronty,teplé fronty,studené fronty II. druhu
V oblasti tlakové níže na severní polokouli vane vítr při zemi:,1,rovně do středu níže v celé její oblasti,proti směru pohybu hodinových ručiček,ve směru pohybu hodinových ručiček
V oblasti tlakové výše vane na severní polokouli vítr při zemi:,1,rovně ze středu výše v celé její oblasti,ve směru pohybu hodinových ručiček,proti směru pohybu hodinových ručiček
V okamžiku vlétnutí do klesavého proudu se úhel náběhu:,2,zvětší,nezmění,zmenší
V podmínkách cirkulace pevninské a mořské brízy vane mořská bríza:,2,v noci a je slabší než pevninská bríza,ve dne a je slabší než pevninská bríza,ve dne a je silnější než pevninská bríza
V praxi převádíme rychlosti větru z m/s na kt vztahem:,1,1 m/s ~ 3 kt,1 m/s ~ 2 kt,1 m/s ~ 1 kt
V prostory třídy E mohu potkat dopravní letadlo?,0,Ano,Jen v noci,Ne
V ustáleném klouzavém letu je v rovnováze:,1,"tah s tíhou, odpor se vztlakem",tíhová síla se vztlakem a odporem,vztlak s odporem
Ve vzdušném prostoru G se požadavek na spojení?,1,"vyžaduje, musí být stálé obousměrné",nevyžaduje,vyžaduje se nad 150 m nad terénem
Velikost násobku zatížení + 3 znamená:,2,"že pilot o hmotnosti 80 kg je tažen ze sedačky takovou silou, jako kdyby vážil 240 kg",že pilot o hmotnosti 80 kg je tlačen do sedačky silou přibližně 3200 N (tj. jako kdyby vážil 320 kg),"že pilot o hmotnosti 80 kg je tlačen do sedačky takovou silou, jako kdyby vážil 240 kg"
Vleče-li mne padák při silném větru po zemi stahuji většinou k sobě,2,áčkové popruhy,čekám až se samovolně zastavím,řidičky nebo zadní šňůry
Vrchlíku PK škodí zejména,1,skladování v temných a suchých prostorech,"UV záření, mechanický oděr, vlhkost",myši a jiní polní hlodavci
Vrstevnice (izohypsy) jsou uzavřené prostorové křivky spojující místa o stejné:,1,"záporné výšce, tzv. hloubnice",nadmořské výšce,deklinaci
"Vyberte pravdivé tvrzení, týkající se použití protišokové fólie:",1,fólii je možné v nouzi použít i jako škrtidlo nebo improvizovaný obvaz,"je jedno, kterou stranou je fólie otočená k pacientovi, důležité je, aby byla kolem pacienta těsně omotaná","fólie má výborné termoizolační vlastnosti, ale nechrání proti vlhkosti (v silném dešti může promoknout)"
Vyberte pravdivý výrok týkající se povinnosti poskytnout první pomoc:,2,"Povinnost poskytnout první pomoc je pouze morální, neexistuje však právní vymahatelnost.","b.První pomoc je povinen poskytnout každý, kdo je svědkem úrazu, bez ohledu na závažnost úrazu a hrozící nebezpečí.","Pokud dojde k těžkému úrazu, je každý povinen poskytnout první pomoc; poskytnutí pomoci však nesmí ohrozit život nebo zdraví zachránce."
"Vyberte pravdivý výrok týkající se taktiky postupu, pokud jste svědkem vzniku vážného úrazu:",0,"Před voláním na záchrannou službu je vhodné se aspoň orientačně ujistit, kde k úrazu došlo, co se stalo a kolik je postižených.",Nejprve je nutné co nejrychleji obnovit životní funkce a až potom se zabývat přivoláním pomoci.,"Jsme-li svědky úrazu, voláme záchrannou službu až po důkladném vyšetření, abychom měli jistotu, že stav je doopravdy vážný."
Vyberte správné tvrzení týkající se polohy postiženého se závažným úrazem v bezvědomí:,0,"Pokud postižený ve stávající poloze spolehlivě dýchá, ponecháme ho v této poloze","S postiženým v bezvědomí zásadně nehýbeme, abychom eliminovali riziko dalšího poškození páteře a míchy",Postižený v bezvědomí následkem úrazu by měl být vždy uložen do polohy na zádech se zakloněnou hlavou
Vyberte správné tvrzení týkající se polohy postiženého se závažným úrazem:,1,"pokud je postižený v bezvědomí, měl by být vždy umístěn do „protišokové“ polohy s nohama a rukama zvednutýma co nejvýše, aby se obnovilo prokrvení mozku","pokud postižený sám aktivně zaujímá nějakou polohu, nebráníme mu","pokud postižený komunikuje, měl by být vždy umístěn do polohy na boku (do „stabilizované“ resp. „zotavovací“ polohy)"
"Vyberte správné tvrzení, týkající se improvizovaného transportu:",0,"Pokud to není nutné, pacienta netransportujeme a vyčkáme příchodu odborné pomoci.","Při improvizovaném transportu je nejdůležitější, aby postižený byl během celého transportu v poloze mírně hlavou dolů.","U improvizovaného transportu záleží především na rychlosti, šetrnost není prioritou."
"Vzduchovou hmotou nazýváme instabilní, pokud v ní dochází k:",1,inverzím,konvektivním vertikálním pohybům,tvorbě vrstevnaté oblačnosti
Vztlak je?,0,"síla vzniklá obtékáním profilu, kolmá k síle aerodynamického odporu",výsledná aerodynamická síla vzniklá obtékáním profilu,odpor plochy daný úhlem náběhu
Vztlak na profilu křídla:,1,vzniká působením Coriolisovy síly a vyrovnáváním tlaku nad a pod profilem,vzniká v důsledku rozdílné rychlosti proudu nad a pod profilem,vzniká v důsledku úhlu náběhu a změny teploty vzduchu nad a pod křídlem
Vztlak na profilu vzniká v důsledku:,1,"zhuštění proudnic pod profilem, tím se pod profilem vytvoří přetlak, nad profilem se proudnice rozšíří a tím se nad profilem vytvoří podtlak","zhuštění proudnic nad profilem, tím se nad profilem vytvoří podtlak, pod profilem se proudnice rozšíří a tím se pod profilem vytvoří přetlak",náporu vzduchu na spodní stranu profilu (při kladném úhlu náběhu)
Vztlak působí:,1,vždy směrem vzhůru od profilu,vždy kolmo na směr proudu vzduchu nabíhajícího na profil,vždy kolmo k tětivě profilu
Vztlak vzniká při obtékání profilu v důsledku vytvoření rozdílu tlaků nad a pod profilem. Jaký tlak je pod a nad profilem a jaký je při běžných úhlech náběhu poměr jejich velikostí?,2,"pod profilem vzniká podtlak, nad profilem přetlak, který je asi třikrát větší, než podtlak","pod profilem vzniká přetlak, nad profilem podtlak, jejichž velikosti jsou stejné","pod profilem vzniká přetlak , nad profilem podtlak, ve vzájemném poměru je 1/3 přetlaku a 2/3 podtlaku"
Vítr je určen:,0,směrem ze kterého vane a rychlostí,směrem kam vane a rychlostí,rychlostí
Výběr startoviště a směr vzletu podřizujeme:,2,"větru, který fouká dole v údolí na přistávací ploše","větru, který udává nejbližší meteorologická stanice","větru na startovišti s ohledem na to, jaký vítr fouká nad hřebenem"
Výškoměr nastavený na hodnotu QFE letiště ukazuje po přistání na letišti:,0,nulovou výšku,nadmořskou výšku vztažného bodu letiště,nadmořskou výšku prahu VPD tohoto letiště
Větší část vztlaku vzniká:,2,"pod profilem, asi 2/3","nad 2/3 profilu, asi 55%","nad profilem, asi 2/3"
Z vertikálně vyvinutých oblaků typu Cb - cumulonimbus vypadávají převážně srážky ve formě:,2,mrholení,slabý dešť,déšť a kroupy
Za normálního ustáleného letu je:,0,na horní straně křídla podtlak a na spodní přetlak,na horní i spodní straně křídla přetlak,na horní i spodní straně křídla podtlak
Zaškrcení se provádí:,1,vždy cca 10 – 15 cm nad ránou,"výhradně v paži nebo ve stehně, mezi ranou a srdcem",kdekoliv mezi ránou a srdcem
Ze SLZ není dovoleno:,0,"nic shazovat nebo rozprašovat, s výjimkou dodržení určitých podmínek",shazovat předměty v době mezi východem a západem slunce,pouze rozprašovat
Zeměkoule je:,0,rotační elipsoid na pólech zploštělý,ideální koule,síť souřadnicových čar
Zeměkoule se otočí o 1 stupeň zeměpisné délky za:,2,1 min,6 min,4 min
Zeměpisné souřadnice nám udávají:,2,název určitého místa,polohu časového pásma,zeměpisnou polohu určitého místa
Zeměpisný poledník je:,0,polovina poledníkové kružnice,"část kružnice, jejíž rovina je kolmá na zemskou osu",kružnice kolem zeměkoule
Zeměpisný sever a jih:,1,působí na něj magnetismus země,nemění polohu,mění se v závislosti na roční době
Zkratka AGL u výškového údaje v letecké mapě znamená:,1,výšku na úrovni moře,výšku nad úrovní země,výšku vztaženou k oblastnímu tlaku
Zlomeninu dolní končetiny přednostně fixujeme:,0,přitažením k druhostranné končetině (pokud není rovněž zlomená),zavěšením do šátku,"pomocí improvizované dlahy (větve, tyčky apod.)"
Zlomeninu horní končetiny přednostně fixujeme:,2,"pomocí improvizované dlahy (větve, tyčky apod.)",přitažením k tělu v natažené poloze,zavěšením do šátku
Zlomeniny fixujeme v improvizovaných podmínkách:,1,"vždy, jde o prioritní výkon první pomoci","výjimečně, a to zejména tehdy, pokud předpokládáme další manipulaci s pacientem před příjezdem odborné pomoci","vždy, pokud jde o otevřenou zlomeninu"
Zobrazit zemský povrch v rovině bez zkreslení:,1,je možné,není možné,jen na mapě plochojevné
"Zvětšující se vzdálenost mezi izobarami znamená, že v dané oblasti bude rychlost proudění vzduchu:",2,větší,vzdálenost mezi izobarami nevypovídá nic o rychlosti proudění,menší
Základní příčinou vzniku mechanické turbulence je:,1,zvrstvení vzduchu,vítr a uspořádání terénu,vlhkost a teplota vzduchu
Základní příčinou vzniku oblačnosti v atmosféře je:,0,dosažení stavu nasycení s následnou kondenzací vodních par,dosažení stavu nasycení,pokles teploty vzduchu s výškou
Základním úkolem první pomoci při ošetření ran a oděrek je:,2,přiložení krycího obvazu; ránu v improvizovaných podmínkách nikdy nečistíme a cizí tělesa nevyjímáme,"desinfekce rány (v nouzi i koncentrovaným alkoholem), odstranění cizích těles, přiložení krycího obvazu","odstranění případných cizích těles výplachem, desinfekce okolí rány a přiložení krycího obvazu"
Záložní padák (ZP) použijeme bez váhání,2,při přefouknutí za horský hřeben,pod bouřkovým mrakem,v neřízené prudké rotaci
"Záložní padák (ZP) použijeme tak, že",2,"zatáhnutím za rukojeť zajistíme vyhození ZP, rukojeť můžeme potom též zahodit","tahem za rukojeť uvolníme zajišťovací jehly a tím to cuknutím aktivujeme systém, který zajistí otevření ZP",vytáhneme ZP za rukojeť ze sedačky a potom ho celý i s rukojetí odhodíme do volného prostoru
"Údaj v metrech přepočítáte na údaj ve stopách přibližně (foot, zkr.ft)",0,(m x 3) + 10%,(m x 3) : 10,(m : 10) x 3
"Úhel náběhu je geometrický úhel, který:",1,"svírá směr nabíhajícího proudu s vodorovnou rovinou (horizontem), tj. nulový v horizontálním letu",svírá směr nabíhajícího proudu vzduchu s tětivou profilu,svírá tětiva profilu s vodorovnou rovinou (horizontem)
Čas se udává:,0,"v hod, min, sec s tím, že minuta začíná 1.sec a končí 60.sec",ve stupních,"v hod, min, sec s tím, že minuta začíná ve 30.sec předchozí minuty a končí ve 30.sec následující minuty"
Čočkovité podlouhlé mraky:,0,"znamenají, že fouká ve výšce silný vítr, tudíž může hrozit nárazovitost větru","hlavně v létě znamenají, že se blíží nebezpečný druh okluzní fronty","se vyskytují hlavně v tropech, u nás se objeví jen zřídka na jaře při prudké změně teploty"
„Chirurgické“ gumové rukavice:,1,se používají jen při ošetření obzvlášť krvácejících nebo znečištěných ran,je vhodné použít při ošetřování jakéhokoliv zranění,je vhodné použít zejména pro ošetření pacienta s podezřením na infekční onemocnění
„Lapavými dechy“ se rozumí:,2,"nápadně rychlé, ale mělké a tiché dýchání, typické pro pacienta s překážkou v dýchacích cestách",nápadně hlučné nádechy v rychlém tempu; tyto nádechy jsou typické pro rozvíjející se šokový stav,jednotlivé nádechy v nápadně dlouhých intervalech u postiženého v bezvědomí; tyto nádechy jsou typické pro zástavu oběhu
"„Protišoková“ fólie se používá nejlépe tak, že se:",2,s ní postižený podloží,s ní postižený šetrně přikryje,do ní postižený těsně zabalí (včetně hlavy – volný zůstane jenom obličej)
